lid,bundle,bundle_lid,filepath,pds:start_date_time,pds:stop_date_time,pds:wavelength_range,instument_host_lid,instrument_lid,primary_target_lid,rings:occultation_type,rings:occultation_direction,rings:time_series_direction,rings:planetary_occultation_flag,rings:data_quality_score,rings:ring_plane,rings:minimum_projected_sun_diameter,rings:maximum_projected_sun_diameter,rings:sigma_projected_sun_diameter,rings:minimum_wavelength,rings:maximum_wavelength,rings:reference_time_utc,rings:observed_event_start_tdb,rings:observed_event_stop_tdb,rings:ring_event_start_tdb,rings:ring_event_stop_tdb,rings:minimum_ring_radius,rings:maximum_ring_radius,rings:observed_ring_elevation,rings:light_source_incidence_angle,rings:data_quality_index,rings:lowest_detectable_normal_optical_depth,rings:highest_detectable_normal_optical_depth,rings:background_signal,rings:average_unocculted_signal
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2005_159_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2005_159_solar_time_series_ingress.xml                       ,2005-06-08T11:39:37.225Z,2005-06-08T14:04:01.195Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,179.662 ,266.511 ,25.2,56.2,118.1,2000-01-01T12:00:00Z,171502839.409,171511503.380,171502838.810,171511502.491,66150.7 ,168689.8,21.45,68.55,FR ,-0.04677,1.40691 ,174.0 ,1853.6
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2005_196_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2005_196_solar_time_series_ingress.xml                       ,2005-07-15T00:42:42.060Z,2005-07-15T02:02:46.057Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,Y,Fair,Equator,244.056 ,281.820 ,10.5,56.2,118.1,2000-01-01T12:00:00Z,174660226.244,174665030.240,174660225.429,174665029.300,54081.2 ,114863.3,21.07,68.93,R  ,-0.00261,2.67289 ,372.1 ,98108.5
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2006_257_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2006_257_solar_time_series_egress.xml                        ,2006-09-15T05:48:04.455Z,2006-09-15T06:12:44.455Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Poor,Equator,2068.419,2069.201,0.2 ,58.0,116.2,2000-01-01T12:00:00Z,211571405.138,211572811.138,211571398.236,211572804.238,87462.8 ,87540.3 ,15.86,74.14,X  ,-0.00103,0.00024 ,188.8 ,62964.7
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2006_257_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2006_257_solar_time_series_ingress.xml                       ,2006-09-14T19:38:49.664Z,2006-09-15T05:46:50.455Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Poor,Equator,2069.242,2083.654,4.2 ,58.0,116.2,2000-01-01T12:00:00Z,211534776.346,211571331.138,211534769.396,211571324.236,87462.8 ,128119.3,15.86,74.14,UR ,0.05906 ,2.08718 ,188.8 ,85394.0
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2007_114_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2007_114_solar_time_series_egress.xml                        ,2007-04-24T10:37:05.109Z,2007-04-24T12:07:55.609Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Good,Equator,248.204 ,459.402 ,61.1,56.2,118.1,2000-01-01T12:00:00Z,230683087.545,230688538.045,230683086.012,230688537.217,100220.8,205780.1,12.76,77.24,   ,-0.00156,1.71392 ,148.2 ,85397.1
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2007_114_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2007_114_solar_time_series_ingress.xml                       ,2007-04-24T09:58:13.109Z,2007-04-24T10:36:54.109Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,459.823 ,548.121 ,25.6,56.2,118.1,2000-01-01T12:00:00Z,230680755.545,230683076.545,230680753.716,230683075.011,100221.0,126281.2,12.77,77.23,U  ,0.05692 ,1.77784 ,83.2  ,85397.1
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2008_003_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2008_003_solar_time_series_egress.xml                        ,2008-01-03T20:56:07.356Z,2008-01-03T21:28:59.331Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Fair,Equator,130.874 ,248.317 ,34.2,56.2,118.1,2000-01-01T12:00:00Z,252665834.540,252667802.515,252665833.712,252667802.078,96961.8 ,151780.5,9.00 ,81.00,R  ,-0.00139,1.16031 ,249.1 ,78879.6
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2008_003_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2008_003_solar_time_series_ingress.xml                       ,2008-01-03T20:15:55.356Z,2008-01-03T20:55:59.356Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Good,Equator,248.792 ,390.254 ,40.9,56.2,118.1,2000-01-01T12:00:00Z,252663418.540,252665826.540,252663417.238,252665825.710,96961.8 ,172589.1,9.00 ,81.00,   ,-0.00115,1.16709 ,227.1 ,78576.4
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2008_051_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2008_051_solar_time_series_egress.xml                        ,2008-02-20T17:13:42.187Z,2008-02-20T17:14:58.187Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Poor,Equator,192.333 ,198.720 ,2.0 ,56.2,118.1,2000-01-01T12:00:00Z,256799689.373,256799761.373,256799688.710,256799760.731,68373.3 ,68706.5 ,8.27 ,81.73,X  ,-0.00528,-0.00423,3160.2,77642.4
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2008_051_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2008_051_solar_time_series_ingress.xml                       ,2008-02-20T16:39:18.187Z,2008-02-20T17:13:34.187Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Good,Equator,199.430 ,380.179 ,52.3,56.2,118.1,2000-01-01T12:00:00Z,256797621.373,256799681.373,256797620.104,256799680.707,68373.0 ,194898.1,8.28 ,81.72,   ,-0.00487,0.88256 ,3160.2,77642.4
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2008_083_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2008_083_solar_time_series_egress.xml                        ,2008-03-23T09:41:40.859Z,2008-03-23T10:19:52.830Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Good,Equator,65.781  ,228.365 ,47.1,56.2,118.1,2000-01-01T12:00:00Z,259537368.045,259539000.045,259537367.283,259538999.825,74526.8 ,177761.2,7.79 ,82.21,   ,-0.00082,0.90734 ,1100.0,80285.9
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2008_083_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2008_083_solar_time_series_ingress.xml                       ,2008-03-23T08:59:56.859Z,2008-03-23T09:41:32.859Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Good,Equator,229.158 ,474.855 ,71.1,56.2,118.1,2000-01-01T12:00:00Z,259534860.045,259537360.045,259534858.461,259537359.280,74526.5 ,257565.6,7.79 ,82.21,   ,-0.00079,0.94879 ,594.9 ,80030.0
